1.077609655502320463e+00,1.043716127968062013e+00,1.005898634816564385e+00,1.049690173553710304e+00,9.315515367021930393e-01,9.769075221815741727e-01,1.029412845787357256e+00,1.067119233222709962e+00,1.122435756148402408e+00,9.450643956612845287e-01,1.078892987605273079e+00,1.047976310221846452e+00,1.048124439558174137e+00,9.594909294678204414e-01,9.646614680447129775e-01,9.543609666441776884e-01,9.334667377554040080e-01,9.537612859903124019e-01,9.737608811321395441e-01
1.047217310763010278e+00,1.051479620696592177e+00,1.072963372079821731e+00,1.011896341943881339e+00,1.342111425401385061e+00,1.358861411423100796e+00,1.067170186417171429e+00,1.144307522981497405e+00,1.255812006601700892e+00,1.053586259898771305e+00,1.022741835762164486e+00,9.635240423399238363e-01,9.705145917590614069e-01,1.292694874635559321e+00,1.221893097858308241e+00,1.204883849786827277e+00,1.278902248672668884e+00,9.754566617841223808e-01,1.032716804041485359e+00
1.242885709049487808e+00,1.214470565511131417e+00,1.223668677575724395e+00,1.131121889464643981e+00,1.100220428576070164e+00,1.442590146833570675e+00,1.135331524868372188e+00,1.183858659167112304e+00,1.183722670455149784e+00,1.305481685836358929e+00,1.188409269830184689e+00,1.213924298898745091e+00,1.133773513472126071e+00,1.145978026514409942e+00,1.095021174413059351e+00,1.379520389974155048e+00,1.344022260694927917e+00,1.381484615403115068e+00,1.518627222426673695e+00
1.099008761833400349e+00,1.246153944214486442e+00,1.281297226835228287e+00,1.040645558200680165e+00,9.824492970456186747e-01,9.892904415011859465e-01,9.768136824343425229e-01,1.309282172334297778e+00,9.367307547786668520e-01,1.225963517398820590e+00,1.363150285665003514e+00,1.119178494069321017e+00,1.477267045575008542e+00,1.381722925293036752e+00,1.367594676827535105e+00,1.526892717883399753e+00,1.093466868979101614e+00,9.929749310056102951e-01,1.111312726764418279e+00
1.011867638597568897e+00,8.954989760725153847e-01,7.554462902241252387e-01,1.084619948826364810e+00,8.537062855579821141e-01,8.048940926134269258e-01,9.976175444712336304e-01,9.313344667558585144e-01,8.978192529437999392e-01,9.199737655885634746e-01,6.451256828999530901e-01,7.142164485146896835e-01,1.167566775776869514e+00,9.996595272470977234e-01,8.617257683414045744e-01,1.080114897272301144e+00,8.922259062698868481e-01,7.469115619711542697e-01,9.308713534562103042e-01
1.180028152393841623e+00,1.089266888514027531e+00,1.295413742223002318e+00,1.148518292434622445e+00,1.038385589009362953e+00,1.684748810919806550e+00,1.158729796145976154e+00,9.659944393402032370e-01,8.781978460391960395e-01,8.915510611132390073e-01,8.974940090900458411e-01,9.691760194479589474e-01,1.036684138262511379e+00,9.501778027597356235e-01,1.272374294000836237e+00,9.556785569821530935e-01,9.735163458148764493e-01,1.079991562703491059e+00,1.099402104967828198e+00
8.601947309765149985e-01,1.105866107829649669e+00,1.105860498416353144e+00,7.509682948518716650e-01,7.166810675561205990e-01,8.835655513568665409e-01,8.793080354011224564e-01,9.040482202506964216e-01,8.126755771160679709e-01,9.315326037340262433e-01,8.212196165076600662e-01,1.086869118257719036e+00,9.650905976364514416e-01,7.624524872866169645e-01,1.098492942420256302e+00,8.286926909996563673e-01,1.004787862814546351e+00,1.026834934482998118e+00,1.083737507567272829e+00
9.245541581537326525e-01,9.404093585455091109e-01,8.400853084769392964e-01,8.970753828244250050e-01,9.022001282393862232e-01,8.404208665199307537e-01,8.369089544793560931e-01,9.644799132865224944e-01,9.663218594079918677e-01,9.931283360040172870e-01,8.122922547440687424e-01,8.899283737148906415e-01,9.789858189055599125e-01,1.448579623851076859e+00,8.728394978759141942e-01,9.136284206108694628e-01,8.775478216679770682e-01,9.368184186748894637e-01,9.240603372737572485e-01
7.759466100020259161e-01,7.266356244094086536e-01,7.379193391191827267e-01,8.311796576258034808e-01,8.994861629373286371e-01,8.710523594343634324e-01,7.476756471973908802e-01,7.202535190764597361e-01,7.188934096198776880e-01,7.228160376938131959e-01,7.301698418939577273e-01,7.801534295376175709e-01,8.847644234116808226e-01,8.528643157791027107e-01,9.554081159218251740e-01,9.526848759536876710e-01,9.269561162552658606e-01,7.846143562338039334e-01,7.784320018059944779e-01
1.034181172987198805e+00,1.068050436752539412e+00,1.003538365902579832e+00,1.096278583641810300e+00,1.011699424839507921e+00,8.830762393218082318e-01,1.039528668018867341e+00,1.118652850849037428e+00,1.268758310980585557e+00,7.876726885515896726e-01,9.482194390874025824e-01,1.207533756467815689e+00,9.664979853603390403e-01,8.995337382658604719e-01,1.072883408245887349e+00,8.457340642378978757e-01,8.172887604899174985e-01,1.206443213386428903e+00,9.991513555105533406e-01
