Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Version
WIND Toolkit data from NREL downloaded on 2023-5-12,0,Hawaii,28.9615593,-97.99554443,0,-10,0,-,v1.10
Year,Month,Day,Hour,Minute,Temp,Pressure,Speed,Direction,
2019,1,1,0,0,22.9,0.995,11.3,95,
2019,1,1,1,0,23,0.996,13.4,90,
2019,1,1,2,0,22.8,0.996,12.6,93,
2019,1,1,3,0,23,0.997,13,92,
2019,1,1,4,0,23,0.997,12.9,95,
2019,1,1,5,0,23,0.997,12.3,93,
2019,1,1,6,0,22.9,0.997,13.4,94,
2019,1,1,7,0,22.9,0.997,14.4,95,
2019,1,1,8,0,22.8,0.998,14,94,
2019,1,1,9,0,22.7,0.998,14.3,93,
2019,1,1,10,0,22.9,0.998,14,94,
2019,1,1,11,0,22.7,0.998,12.9,89,
2019,1,1,12,0,22.6,0.998,13.4,91,
2019,1,1,13,0,22.6,0.997,13.5,97,
2019,1,1,14,0,22.9,0.997,12.8,103,
2019,1,1,15,0,22.9,0.997,11.7,96,
2019,1,1,16,0,22.7,0.997,13,91,
2019,1,1,17,0,22.9,0.997,13.8,97,
2019,1,1,18,0,23,0.998,14.1,98,
2019,1,1,19,0,22.8,0.999,14,95,
2019,1,1,20,0,22.8,0.999,13.2,92,
2019,1,1,21,0,22.7,0.999,13.3,92,
2019,1,1,22,0,22.7,0.998,12.5,97,
2019,1,1,23,0,22.6,0.997,12.4,100,
2019,1,2,0,0,22.7,0.996,13.2,99,
2019,1,2,1,0,22.8,0.996,13,100,
2019,1,2,2,0,22.8,0.996,12.6,98,
2019,1,2,3,0,22.7,0.997,13.3,98,
2019,1,2,4,0,22.5,0.997,12.7,94,
2019,1,2,5,0,22.6,0.998,13.6,96,
2019,1,2,6,0,22.5,0.998,13.3,93,
2019,1,2,7,0,22.5,0.999,12.6,98,
2019,1,2,8,0,22.4,0.999,12.6,98,
2019,1,2,9,0,22.2,0.999,12.2,91,
2019,1,2,10,0,22.3,0.999,11.8,93,
2019,1,2,11,0,22.6,0.999,12.1,93,
2019,1,2,12,0,22.5,0.998,11.6,95,
2019,1,2,13,0,22.2,0.998,11.8,86,
2019,1,2,14,0,21.9,0.998,11.6,85,
2019,1,2,15,0,22.2,0.998,11.1,91,
2019,1,2,16,0,22.1,0.998,11.1,90,
2019,1,2,17,0,21.9,0.998,12,84,
2019,1,2,18,0,22.1,0.999,12.1,89,
2019,1,2,19,0,22.3,1,12.3,93,
2019,1,2,20,0,22.2,1,11.7,94,
2019,1,2,21,0,22.3,1,12.1,93,
2019,1,2,22,0,22.2,0.999,11.9,93,
2019,1,2,23,0,22.3,0.998,11.2,92,
2019,1,3,0,0,22.3,0.997,11.9,96,
2019,1,3,1,0,22.5,0.997,11.7,97,
2019,1,3,2,0,22.5,0.997,10.8,95,
2019,1,3,3,0,22.5,0.997,10.6,90,
2019,1,3,4,0,22.5,0.998,10.4,85,
2019,1,3,5,0,22.8,0.999,10.2,85,
2019,1,3,6,0,22.7,1,9.6,83,
2019,1,3,7,0,22.7,1,10,76,
2019,1,3,8,0,22.7,1,9.9,80,
2019,1,3,9,0,22.6,1,9.9,79,
2019,1,3,10,0,22.5,1,10.4,80,
2019,1,3,11,0,22.2,1,9.3,62,
2019,1,3,12,0,22.2,0.999,9,75,
2019,1,3,13,0,22.4,0.999,10.4,69,
2019,1,3,14,0,21.6,0.999,8.5,64,
2019,1,3,15,0,22.2,0.999,11,72,
2019,1,3,16,0,21.8,0.999,11.8,70,
2019,1,3,17,0,22.2,1,10.9,72,
2019,1,3,18,0,22.1,1,10,78,
2019,1,3,19,0,22.3,1.001,10,74,
2019,1,3,20,0,22,1.001,9.5,68,
2019,1,3,21,0,22,1.001,10.8,69,
2019,1,3,22,0,22,1,11.5,77,
2019,1,3,23,0,21.3,0.999,13.2,69,
2019,1,4,0,0,21.7,0.998,9.6,68,
2019,1,4,1,0,22.2,0.998,11.2,70,
2019,1,4,2,0,22,0.998,10.5,64,
2019,1,4,3,0,21.9,0.999,11,70,
2019,1,4,4,0,21.6,0.999,12.2,68,
2019,1,4,5,0,21.4,1,12.4,84,
2019,1,4,6,0,21.6,1,12.5,66,
2019,1,4,7,0,21.7,1,13.8,73,
2019,1,4,8,0,22,1,13.7,80,
2019,1,4,9,0,21.9,1,14.5,82,
2019,1,4,10,0,21.6,0.999,13.6,86,
2019,1,4,11,0,21.7,0.999,14.4,77,
2019,1,4,12,0,21.8,0.999,13.1,85,
2019,1,4,13,0,21.9,0.999,16,81,
2019,1,4,14,0,20.7,0.999,16,86,
2019,1,4,15,0,21.1,0.999,15.6,89,
2019,1,4,16,0,21.7,1,13.9,89,
2019,1,4,17,0,21.8,1,14.3,91,
2019,1,4,18,0,22.2,1.001,14.5,86,
2019,1,4,19,0,21.9,1.001,13.4,94,
2019,1,4,20,0,22,1.002,13.3,95,
2019,1,4,21,0,22.2,1.001,13.2,94,
2019,1,4,22,0,22.3,1.001,12.9,93,
2019,1,4,23,0,22.1,1,11.8,92,
2019,1,5,0,0,22.2,1,12.1,93,
2019,1,5,1,0,22.2,1,12,95,
2019,1,5,2,0,22.2,0.999,12,97,
2019,1,5,3,0,22.4,1,13.2,94,
2019,1,5,4,0,22.2,1,12.4,90,
2019,1,5,5,0,22.3,1,12.9,90,
2019,1,5,6,0,21.5,1,11.9,99,
2019,1,5,7,0,22.5,1,14.3,90,
2019,1,5,8,0,21.1,1,14.1,100,
2019,1,5,9,0,22,1,13.7,90,
2019,1,5,10,0,22,1,14.4,90,
2019,1,5,11,0,21.9,1,13.8,91,
2019,1,5,12,0,21.8,0.999,14.2,94,
2019,1,5,13,0,21.8,1,12.8,96,
2019,1,5,14,0,21.3,1,12.3,85,
2019,1,5,15,0,21.8,1,10.9,89,
2019,1,5,16,0,21.8,1,12.1,85,
2019,1,5,17,0,21.7,1,11.2,85,
2019,1,5,18,0,21.5,1.001,11.8,90,
2019,1,5,19,0,21.6,1.002,11.6,100,
2019,1,5,20,0,21.5,1.002,10.9,92,
2019,1,5,21,0,21.7,1.001,11.5,94,
2019,1,5,22,0,21.7,1.001,10.7,97,
2019,1,5,23,0,21.7,1,10.1,99,
2019,1,6,0,0,21.6,0.999,10.5,101,
2019,1,6,1,0,21.7,0.999,10.1,102,
2019,1,6,2,0,21.8,0.999,10,101,
2019,1,6,3,0,21.9,0.999,9.9,104,
2019,1,6,4,0,22,1,9.8,107,
2019,1,6,5,0,22.1,1,9.3,113,
2019,1,6,6,0,22.1,1,9.2,117,
2019,1,6,7,0,22.2,1,8.8,113,
2019,1,6,8,0,22.3,1,7.3,122,
2019,1,6,9,0,22.3,1,6.2,120,
2019,1,6,10,0,22.3,1,5.5,115,
2019,1,6,11,0,22.3,1,4.4,112,
2019,1,6,12,0,22,1,2.6,133,
2019,1,6,13,0,21.8,1,3.3,131,
2019,1,6,14,0,21.8,1,0.4,273,
2019,1,6,15,0,21.5,1,2.3,299,
2019,1,6,16,0,21.8,1,1.2,285,
2019,1,6,17,0,21.8,1.001,1.5,306,
2019,1,6,18,0,21.5,1.001,1.2,59,
2019,1,6,19,0,21.6,1.002,1.2,53,
2019,1,6,20,0,21.7,1.002,1.2,48,
2019,1,6,21,0,21.8,1.002,1.8,17,
2019,1,6,22,0,21.9,1.002,2.4,358,
2019,1,6,23,0,21.9,1.001,3.1,343,
2019,1,7,0,0,21.8,1,3.5,333,
2019,1,7,1,0,21.9,1,4.1,319,
2019,1,7,2,0,21.9,1.001,4.4,319,
2019,1,7,3,0,22.1,1.001,5.7,318,
2019,1,7,4,0,21.9,1.002,4.7,338,
2019,1,7,5,0,21.9,1.002,3.5,346,
2019,1,7,6,0,22,1.002,4,349,
2019,1,7,7,0,21.9,1.002,4,356,
2019,1,7,8,0,21.8,1.002,3.8,3,
2019,1,7,9,0,21.7,1.002,4.4,6,
2019,1,7,10,0,21.8,1.002,4.6,7,
2019,1,7,11,0,21.7,1.001,4.7,15,
2019,1,7,12,0,21.6,1.001,5.1,18,
2019,1,7,13,0,21.5,1.001,5.2,21,
2019,1,7,14,0,21.4,1,5.7,19,
2019,1,7,15,0,21.4,1.001,6.1,23,
2019,1,7,16,0,21.3,1.001,6.3,32,
2019,1,7,17,0,21.3,1.001,5.9,43,
2019,1,7,18,0,21.3,1.002,5.7,48,
2019,1,7,19,0,21.4,1.002,5.5,59,
2019,1,7,20,0,21.5,1.002,5.5,64,
2019,1,7,21,0,21.6,1.002,5,59,
2019,1,7,22,0,21.6,1.001,5.2,55,
2019,1,7,23,0,21.7,1,5.2,54,
2019,1,8,0,0,21.7,1,5.7,49,
2019,1,8,1,0,21.7,1,6.5,54,
2019,1,8,2,0,21.6,1,6.8,56,
2019,1,8,3,0,21.6,1,7.2,63,
2019,1,8,4,0,21.2,1.001,5.7,63,
2019,1,8,5,0,21.6,1.001,5.7,66,
2019,1,8,6,0,21.5,1.001,6,72,
2019,1,8,7,0,21.4,1.001,5.7,65,
2019,1,8,8,0,21.6,1.001,6.2,75,
2019,1,8,9,0,21.5,1.001,5.9,78,
2019,1,8,10,0,21.5,1.001,5.5,77,
2019,1,8,11,0,21.2,1.001,5.3,90,
2019,1,8,12,0,21.1,1,4.6,87,
2019,1,8,13,0,21.6,1,5,84,
2019,1,8,14,0,21.3,1,4.4,92,
2019,1,8,15,0,21.3,1,3.9,97,
2019,1,8,16,0,21.5,1,4.5,92,
2019,1,8,17,0,21.8,1,4.8,109,
2019,1,8,18,0,21.5,1.001,4.3,101,
2019,1,8,19,0,21.4,1.001,4.3,97,
2019,1,8,20,0,21.3,1.001,5.1,98,
2019,1,8,21,0,21.9,1.001,5,111,
2019,1,8,22,0,21.9,1,4.7,110,
2019,1,8,23,0,21.9,0.999,4.7,99,
2019,1,9,0,0,21.8,0.998,4.4,101,
2019,1,9,1,0,21.9,0.998,5.3,99,
2019,1,9,2,0,21.9,0.998,5.2,94,
2019,1,9,3,0,21.9,0.998,5,89,
2019,1,9,4,0,21.9,0.999,5.1,89,
2019,1,9,5,0,21.9,0.999,5.5,92,
2019,1,9,6,0,21.9,0.999,4.2,91,
2019,1,9,7,0,22,1,5,100,
2019,1,9,8,0,21.6,1,3.9,93,
2019,1,9,9,0,21.7,1,3.4,111,
2019,1,9,10,0,20,0.999,3.3,144,
2019,1,9,11,0,21.2,0.999,3.1,132,
2019,1,9,12,0,21.3,0.999,1.9,120,
2019,1,9,13,0,19.9,0.999,3.1,22,
2019,1,9,14,0,20.6,0.999,1.8,81,
2019,1,9,15,0,19.8,0.999,1,226,
2019,1,9,16,0,20.2,0.999,1.8,349,
2019,1,9,17,0,20.8,1,0.6,239,
2019,1,9,18,0,20.2,1,0.6,284,
2019,1,9,19,0,20.9,1.001,2.5,269,
2019,1,9,20,0,19.7,1.001,3,26,
2019,1,9,21,0,20,1.001,2.3,49,
2019,1,9,22,0,20.3,1,3.7,14,
2019,1,9,23,0,20.5,0.999,4.2,20,
2019,1,10,0,0,20.9,0.998,3.3,371,
2019,1,10,1,0,21.1,0.998,3.6,337,
2019,1,10,2,0,21.2,0.998,3.3,358,
2019,1,10,3,0,21.1,0.999,3.6,11,
2019,1,10,4,0,21,0.999,3.1,27,
2019,1,10,5,0,21,1,3.6,27,
2019,1,10,6,0,21,1.001,3.6,33,
2019,1,10,7,0,21.1,1.001,4.1,41,
2019,1,10,8,0,20.8,1.001,6.8,57,
2019,1,10,9,0,20.7,1,5.7,84,
2019,1,10,10,0,20.8,0.999,6.7,107,
2019,1,10,11,0,21.4,0.999,6,110,
2019,1,10,12,0,21.6,0.998,5.9,112,
2019,1,10,13,0,21.5,0.998,6.1,116,
2019,1,10,14,0,21.5,0.999,5.5,123,
2019,1,10,15,0,21.5,0.999,5.3,128,
2019,1,10,16,0,21.6,0.999,5.3,133,
2019,1,10,17,0,21.4,0.999,3.5,146,
2019,1,10,18,0,21.2,0.999,3.2,152,
2019,1,10,19,0,21.3,1,3.7,153,
2019,1,10,20,0,21.5,1,3.1,156,
2019,1,10,21,0,21.6,1,3.4,144,
2019,1,10,22,0,21.9,0.999,4.2,130,
2019,1,10,23,0,21.9,0.998,5.2,107,
2019,1,11,0,0,21.8,0.997,5.1,111,
2019,1,11,1,0,22,0.997,2.3,149,
2019,1,11,2,0,21.5,0.997,2.4,262,
2019,1,11,3,0,21.7,0.998,1.2,298,
2019,1,11,4,0,22,0.998,2.1,86,
2019,1,11,5,0,22.3,0.999,3.7,123,
2019,1,11,6,0,21.5,0.999,3,180,
2019,1,11,7,0,21.6,0.999,1.5,152,
2019,1,11,8,0,22.3,0.999,4.5,134,
2019,1,11,9,0,22.1,0.999,5.9,122,
2019,1,11,10,0,22,0.999,6.2,127,
2019,1,11,11,0,21.6,0.999,4.8,146,
2019,1,11,12,0,21.4,0.998,3.4,171,
2019,1,11,13,0,21.5,0.998,3.2,166,
2019,1,11,14,0,21.7,0.998,2.1,170,
2019,1,11,15,0,21.9,0.998,2.3,139,
2019,1,11,16,0,22,0.999,4.1,116,
2019,1,11,17,0,21.7,0.999,2.8,142,
2019,1,11,18,0,21.6,0.999,2.3,153,
2019,1,11,19,0,21.6,0.999,2.4,139,
2019,1,11,20,0,21.9,1,3.9,119,
2019,1,11,21,0,21.9,0.999,3.7,104,
2019,1,11,22,0,21.8,0.999,3.1,89,
2019,1,11,23,0,22,0.998,4.1,99,
2019,1,12,0,0,21.6,0.997,5,89,
2019,1,12,1,0,21.8,0.997,4.2,98,
2019,1,12,2,0,21.9,0.997,3.6,84,
2019,1,12,3,0,22,0.997,3.1,54,
2019,1,12,4,0,22,0.998,2.9,27,
2019,1,12,5,0,22.1,0.998,2.3,44,
2019,1,12,6,0,21.9,0.999,2.2,55,
2019,1,12,7,0,21.7,0.999,2.1,38,
2019,1,12,8,0,22.2,0.999,3.1,49,
2019,1,12,9,0,22.1,0.999,3.4,43,
2019,1,12,10,0,21.1,0.999,5.4,35,
2019,1,12,11,0,21.8,0.998,3.2,61,
2019,1,12,12,0,21.8,0.998,4.1,68,
2019,1,12,13,0,21.6,0.998,4.5,78,
2019,1,12,14,0,21.7,0.998,5.8,93,
2019,1,12,15,0,21.2,0.997,4.8,89,
2019,1,12,16,0,21.5,0.998,5.7,110,
2019,1,12,17,0,21.6,0.998,7.6,105,
2019,1,12,18,0,21.3,0.998,7.9,106,
2019,1,12,19,0,21.3,0.999,7.2,111,
2019,1,12,20,0,21.4,0.999,7.5,116,
2019,1,12,21,0,21.2,0.999,8.1,114,
2019,1,12,22,0,20.9,0.998,6.1,122,
2019,1,12,23,0,19.9,0.997,6.5,137,
2019,1,13,0,0,20.7,0.996,4.7,122,
2019,1,13,1,0,21.3,0.996,4.4,114,
2019,1,13,2,0,22,0.996,8.7,118,
2019,1,13,3,0,22.4,0.997,7.8,121,
2019,1,13,4,0,22.2,0.997,7.4,127,
2019,1,13,5,0,21.3,0.998,4.2,176,
2019,1,13,6,0,20.7,0.998,4.7,178,
2019,1,13,7,0,21.3,0.999,2.4,206,
2019,1,13,8,0,21.7,0.999,1.5,99,
2019,1,13,9,0,22.2,0.999,4.7,116,
2019,1,13,10,0,22.2,0.999,6,114,
2019,1,13,11,0,22.1,0.999,6,109,
2019,1,13,12,0,22.1,0.998,5.6,103,
2019,1,13,13,0,22,0.998,5.2,100,
2019,1,13,14,0,21.8,0.998,5.2,97,
2019,1,13,15,0,21.7,0.998,5.4,109,
2019,1,13,16,0,21.5,0.999,4.7,96,
2019,1,13,17,0,21.7,0.999,5.9,93,
2019,1,13,18,0,21.9,0.999,5.1,104,
2019,1,13,19,0,22.2,1,5.1,116,
2019,1,13,20,0,22.2,1,5.5,116,
2019,1,13,21,0,21.9,1,6,114,
2019,1,13,22,0,21.8,0.999,7.4,117,
2019,1,13,23,0,21.9,0.998,6.7,118,
2019,1,14,0,0,21.9,0.997,6.2,107,
2019,1,14,1,0,22.2,0.997,5.2,111,
2019,1,14,2,0,22.3,0.997,5.3,105,
2019,1,14,3,0,22.2,0.998,5.2,102,
2019,1,14,4,0,22.3,0.998,4.3,101,
2019,1,14,5,0,22.4,0.998,4.2,99,
2019,1,14,6,0,22.3,0.999,4.5,92,
2019,1,14,7,0,22.2,0.999,4.3,80,
2019,1,14,8,0,22.2,0.999,4.3,77,
2019,1,14,9,0,22.3,0.999,4.1,75,
2019,1,14,10,0,22.2,0.999,4.1,75,
2019,1,14,11,0,22.2,0.999,4.4,71,
2019,1,14,12,0,22.2,0.999,3.5,70,
2019,1,14,13,0,22.1,0.998,3.4,71,
2019,1,14,14,0,22.1,0.999,4.2,71,
2019,1,14,15,0,21.8,0.999,4.2,79,
2019,1,14,16,0,21.9,0.999,3.5,87,
2019,1,14,17,0,21.6,1,4.3,120,
2019,1,14,18,0,21.9,1,3.6,108,
2019,1,14,19,0,21.5,1,4.7,93,
2019,1,14,20,0,21.9,1.001,2.9,96,
2019,1,14,21,0,21.8,1.001,3.7,92,
2019,1,14,22,0,21.9,1,4.2,96,
2019,1,14,23,0,21.8,0.999,4.4,103,
2019,1,15,0,0,22,0.997,5.5,98,
2019,1,15,1,0,21.9,0.997,5.7,102,
2019,1,15,2,0,21.6,0.997,5.7,104,
2019,1,15,3,0,21.9,0.997,4.8,98,
2019,1,15,4,0,22.1,0.997,5.1,109,
2019,1,15,5,0,21.9,0.998,4.9,108,
2019,1,15,6,0,22,0.998,5.2,114,
2019,1,15,7,0,22,0.999,4.7,115,
2019,1,15,8,0,21.9,0.999,4.4,111,
2019,1,15,9,0,21.9,0.999,4.3,112,
2019,1,15,10,0,21.9,0.999,3.7,106,
2019,1,15,11,0,21.8,0.999,3.2,110,
2019,1,15,12,0,21.8,0.998,2.6,118,
2019,1,15,13,0,21.4,0.998,0.9,192,
2019,1,15,14,0,21,0.998,1.4,186,
2019,1,15,15,0,21.2,0.998,0.6,116,
2019,1,15,16,0,20.8,0.999,0.7,218,
2019,1,15,17,0,20.8,0.999,0.8,124,
2019,1,15,18,0,20.8,0.999,1,100,
2019,1,15,19,0,20.9,0.999,1,84,
2019,1,15,20,0,21.2,1,1.6,90,
2019,1,15,21,0,21.3,0.999,2,76,
2019,1,15,22,0,21.3,0.999,2.9,63,
2019,1,15,23,0,21.4,0.998,2.7,66,
2019,1,16,0,0,21.4,0.996,2.4,64,
2019,1,16,1,0,21.5,0.996,2.1,77,
2019,1,16,2,0,21.5,0.996,2.4,70,
2019,1,16,3,0,21.6,0.996,2.2,64,
2019,1,16,4,0,21.5,0.996,2.6,61,
2019,1,16,5,0,21.5,0.997,3,63,
2019,1,16,6,0,21.5,0.997,3.2,70,
2019,1,16,7,0,21.4,0.997,3.7,85,
2019,1,16,8,0,21.3,0.997,4.2,80,
2019,1,16,9,0,21.3,0.997,4.6,92,
2019,1,16,10,0,21.3,0.997,4.9,96,
2019,1,16,11,0,21.3,0.997,5.7,112,
2019,1,16,12,0,21.3,0.995,6.2,117,
2019,1,16,13,0,21.3,0.995,5.6,129,
2019,1,16,14,0,21,0.995,5.4,161,
2019,1,16,15,0,20.8,0.995,4.7,175,
2019,1,16,16,0,20.7,0.995,3.7,174,
2019,1,16,17,0,20.9,0.996,3.7,168,
2019,1,16,18,0,21,0.996,3.7,161,
2019,1,16,19,0,20.7,0.997,4,172,
2019,1,16,20,0,21.1,0.997,5,158,
2019,1,16,21,0,21.8,0.997,3.7,240,
2019,1,16,22,0,21.1,0.996,3.7,322,
2019,1,16,23,0,22,0.996,2.4,324,
2019,1,17,0,0,23,0.994,4.1,257,
2019,1,17,1,0,22.9,0.994,2.6,243,
2019,1,17,2,0,22.8,0.993,2,244,
2019,1,17,3,0,22.8,0.994,1.9,257,
2019,1,17,4,0,22.4,0.994,6.7,245,
2019,1,17,5,0,22,0.994,7.7,225,
2019,1,17,6,0,21.6,0.995,5.9,210,
2019,1,17,7,0,21.7,0.995,7.6,218,
2019,1,17,8,0,21.8,0.995,5.4,204,
2019,1,17,9,0,21.5,0.995,6,213,
2019,1,17,10,0,21.4,0.995,7.8,210,
2019,1,17,11,0,21.7,0.995,8.9,219,
2019,1,17,12,0,21.5,0.994,8.5,220,
2019,1,17,13,0,21.7,0.995,10.1,222,
2019,1,17,14,0,22.1,0.994,11.8,228,
2019,1,17,15,0,22,0.995,11.8,223,
2019,1,17,16,0,22,0.995,11.8,219,
2019,1,17,17,0,21.8,0.995,12.5,221,
2019,1,17,18,0,21.8,0.995,12.1,217,
2019,1,17,19,0,22.4,0.996,9,218,
2019,1,17,20,0,23,0.996,4.8,209,
2019,1,17,21,0,24.1,0.996,9.1,226,
2019,1,17,22,0,24.5,0.996,9.6,238,
2019,1,17,23,0,23.6,0.995,11.9,255,
2019,1,18,0,0,23.8,0.994,11.7,253,
2019,1,18,1,0,23.7,0.994,11.2,255,
2019,1,18,2,0,23.7,0.994,10.9,251,
2019,1,18,3,0,23.7,0.995,9.6,248,
2019,1,18,4,0,23.1,0.995,10.3,249,
2019,1,18,5,0,22.5,0.996,9.5,247,
2019,1,18,6,0,18.5,0.996,10.9,351,
2019,1,18,7,0,19.1,0.997,10.4,20,
2019,1,18,8,0,18.6,0.997,6,11,
2019,1,18,9,0,18.7,0.997,3,357,
2019,1,18,10,0,18.9,0.997,4.4,355,
2019,1,18,11,0,18.2,0.998,5.5,16,
2019,1,18,12,0,18.4,0.997,6.2,32,
2019,1,18,13,0,19,0.997,6.2,54,
2019,1,18,14,0,19.4,0.997,5.4,73,
2019,1,18,15,0,19.5,0.998,5.5,55,
2019,1,18,16,0,18.9,0.998,5,54,
2019,1,18,17,0,17.7,0.999,4.9,98,
2019,1,18,18,0,17.9,1,4.5,133,
2019,1,18,19,0,18.4,1.001,1.9,106,
2019,1,18,20,0,18.2,1.001,4.1,93,
2019,1,18,21,0,18.6,1.001,4,93,
2019,1,18,22,0,19.2,1.001,4.1,75,
2019,1,18,23,0,19.5,0.999,4.8,96,
2019,1,19,0,0,19.6,0.999,4.6,78,
2019,1,19,1,0,20,0.998,5.6,80,
2019,1,19,2,0,20,0.998,5.2,75,
2019,1,19,3,0,20.3,0.998,5.2,82,
2019,1,19,4,0,20.5,0.999,5.1,84,
2019,1,19,5,0,20.7,1,6.1,74,
2019,1,19,6,0,20.9,1.001,6.3,68,
2019,1,19,7,0,20.5,1.001,8.3,64,
2019,1,19,8,0,20.8,1.001,8.4,68,
2019,1,19,9,0,21,1.001,8.6,77,
2019,1,19,10,0,20.9,1.001,8.9,75,
2019,1,19,11,0,21,1.001,9.3,80,
2019,1,19,12,0,20.9,1.001,9.4,85,
2019,1,19,13,0,21,1,9,88,
2019,1,19,14,0,21.1,1,8.6,91,
2019,1,19,15,0,21.2,1,7.8,93,
2019,1,19,16,0,21.3,1,7.3,90,
2019,1,19,17,0,21.4,1.001,8,87,
2019,1,19,18,0,21.5,1.001,7.7,84,
2019,1,19,19,0,21.7,1.001,8.4,91,
2019,1,19,20,0,21.6,1.002,9.7,93,
2019,1,19,21,0,21.7,1.001,9.6,93,
2019,1,19,22,0,21.6,1,10.2,89,
2019,1,19,23,0,21.6,0.999,9.9,91,
2019,1,20,0,0,21.9,0.998,9.6,100,
2019,1,20,1,0,21.8,0.998,9.5,97,
2019,1,20,2,0,22.1,0.998,9.3,104,
2019,1,20,3,0,21.9,0.998,9.9,102,
2019,1,20,4,0,21.9,0.998,9.9,105,
2019,1,20,5,0,22,0.999,9.7,103,
2019,1,20,6,0,22.1,0.999,10.3,104,
2019,1,20,7,0,22.2,1,10.4,105,
2019,1,20,8,0,22.4,1,11.1,108,
2019,1,20,9,0,22.2,1,11.2,105,
2019,1,20,10,0,22.4,1,10.8,111,
2019,1,20,11,0,22.3,1,10.4,112,
2019,1,20,12,0,22.4,0.999,11.9,113,
2019,1,20,13,0,22.3,0.998,9.9,115,
2019,1,20,14,0,22.2,0.998,10,111,
2019,1,20,15,0,22.2,0.998,9.4,108,
2019,1,20,16,0,22.3,0.998,10.4,110,
2019,1,20,17,0,22.4,0.998,10.4,106,
2019,1,20,18,0,22.4,0.999,9.6,109,
2019,1,20,19,0,22.5,0.999,9.7,102,
2019,1,20,20,0,22.4,0.999,9.3,102,
2019,1,20,21,0,22,1,6.1,130,
2019,1,20,22,0,22,0.999,6.3,120,
2019,1,20,23,0,22.2,0.998,3.7,130,
2019,1,21,0,0,22.7,0.997,0.9,73,
2019,1,21,1,0,22.7,0.997,2,300,
2019,1,21,2,0,22.7,0.997,3.8,296,
2019,1,21,3,0,22.8,0.997,4.3,299,
2019,1,21,4,0,22.8,0.998,4.3,303,
2019,1,21,5,0,23,0.998,4.7,255,
2019,1,21,6,0,23.1,0.998,2.5,179,
2019,1,21,7,0,22.7,0.998,2.5,168,
2019,1,21,8,0,22.4,0.998,1.6,112,
2019,1,21,9,0,22.4,0.999,3,90,
2019,1,21,10,0,22.3,0.999,2.9,102,
2019,1,21,11,0,22.4,0.999,3.4,113,
2019,1,21,12,0,22.4,0.998,3.8,124,
2019,1,21,13,0,22.5,0.998,4.4,137,
2019,1,21,14,0,22.3,0.998,3.8,135,
2019,1,21,15,0,22.2,0.998,4.1,134,
2019,1,21,16,0,21.8,0.998,5.3,112,
2019,1,21,17,0,22.2,0.998,3.1,106,
2019,1,21,18,0,22,0.999,4,108,
2019,1,21,19,0,22.3,1,4.8,93,
2019,1,21,20,0,22.3,1,3.5,91,
2019,1,21,21,0,22.1,1,2.2,84,
2019,1,21,22,0,22.1,0.999,2.9,54,
2019,1,21,23,0,22.2,0.999,3.5,33,
2019,1,22,0,0,22.1,0.998,3.6,20,
2019,1,22,1,0,22.1,0.997,3.1,34,
2019,1,22,2,0,22.1,0.997,3,39,
2019,1,22,3,0,22.2,0.997,2.6,59,
2019,1,22,4,0,22.1,0.997,2.2,56,
2019,1,22,5,0,22.2,0.998,1.8,58,
2019,1,22,6,0,22,0.998,1.8,49,
2019,1,22,7,0,22,0.998,1.3,54,
2019,1,22,8,0,22,0.999,1.8,69,
2019,1,22,9,0,21.9,0.999,2.1,103,
2019,1,22,10,0,21.9,0.999,3.8,138,
2019,1,22,11,0,21.9,0.999,5.8,142,
2019,1,22,12,0,21.5,0.998,5.7,150,
2019,1,22,13,0,21.6,0.997,4.8,143,
2019,1,22,14,0,22,0.997,6.7,121,
2019,1,22,15,0,21.9,0.997,6,124,
2019,1,22,16,0,22,0.998,6.2,117,
2019,1,22,17,0,22.1,0.998,5,114,
2019,1,22,18,0,22.1,0.999,5.6,115,
2019,1,22,19,0,22.1,0.999,5.7,109,
2019,1,22,20,0,22.2,0.999,4.9,117,
2019,1,22,21,0,22,0.999,2.1,141,
2019,1,22,22,0,22.2,0.999,2.9,77,
2019,1,22,23,0,22.3,0.999,3.7,98,
2019,1,23,0,0,22,0.997,6.1,102,
2019,1,23,1,0,22.6,0.997,7.6,94,
2019,1,23,2,0,22.3,0.997,6.7,90,
2019,1,23,3,0,22.4,0.997,6.4,91,
2019,1,23,4,0,22.3,0.997,3.4,83,
2019,1,23,5,0,22.3,0.998,2.5,134,
2019,1,23,6,0,22.4,0.998,3.7,158,
2019,1,23,7,0,22.4,0.999,5.7,136,
2019,1,23,8,0,22.6,0.999,4.5,137,
2019,1,23,9,0,22,0.999,2.6,167,
2019,1,23,10,0,21.8,0.999,3.2,162,
2019,1,23,11,0,22,0.999,4.3,144,
2019,1,23,12,0,22.3,0.998,6,122,
2019,1,23,13,0,22.2,0.998,6.4,123,
2019,1,23,14,0,22.1,0.997,6,115,
2019,1,23,15,0,22.1,0.998,6,115,
2019,1,23,16,0,22.1,0.998,5.4,104,
2019,1,23,17,0,22.1,0.998,6.5,105,
2019,1,23,18,0,22.1,0.998,7.4,112,
2019,1,23,19,0,22,0.999,6.6,101,
2019,1,23,20,0,22.4,0.999,7.3,116,
